1 98.52
2 77.62
3 106.42
4 93.26
5 96.8
6 113.86
7 98.06
8 100.76
9 105.24
10 69.2
11 76.52
12 84.38
13 101.04
14 110.3
15 87.86
16 85.2
17 93.92
18 87.76
19 91.86
20 100.02
21 76.86
22 107.6
23 77.5
24 106.92
25 125.9
26 117.38
27 103.8
28 113.84
29 112.8
30 76.74
31 91.3
32 120.8
33 86.62
34 92.7
35 83.24
36 101.94
37 108.96
38 103.66
39 83.74
40 74.58
41 123.32
42 87.58
43 96.06
44 89.06
45 115.52
46 94.1
47 95.82
48 103.76
49 95.76
50 101.02
51 114.5
52 93.82
53 101.42
54 96.22
55 77.24
56 79.38
57 97.16
58 97.72
59 96.28
60 115.16
61 105.98
62 97.44
63 120.86
64 129.36
65 134.76
66 97.52
67 99.32
68 120.22
69 75.8
70 78.16
71 79.92
72 87.38
73 106.7
74 114.28
75 105.44
76 136.72
77 95.3
78 86.54
79 103.28
80 110.64
81 77.22
82 135.66
83 113.5
84 137.98
85 90.54
86 83.92
87 86.84
88 107.08
89 112.46
90 78.58
91 106.98
92 108.3
93 111.04
94 85.08
95 139.78
96 87.22
97 98.9
98 86.9
99 100.66
100 80.76
