City 1 0.717473 0.696586
City 2 0.482205 0.876058
City 3 -0.127518 -0.991836
City 4 -0.488159 0.872755
City 5 -0.98968 0.143298
City 6 -0.899859 -0.436181
City 7 -0.278816 -0.960344
City 8 0.857503 0.514478
City 9 -0.556778 -0.830661
City 10 0.828785 -0.559567
City 11 -0.69137 0.722501
City 12 0.517489 -0.85569
City 13 0.162934 -0.986637
City 14 0.991194 0.132421
City 15 0.490951 0.871187
City 16 -0.898197 -0.439593
City 17 -0.182645 0.983179
City 18 -0.958776 -0.284163
City 19 0.994097 0.108496
City 20 -0.866511 -0.499159
City 21 0.918643 0.395088
City 22 0.029236 -0.999573
City 23 0.105631 0.994405
City 24 0.34881 0.937194
City 25 -0.999094 0.0425475
City 26 0.0379884 -0.999278
City 27 -0.991421 0.130705
City 28 -0.99935 0.0360596
City 29 -0.0495759 0.99877
City 30 0.067379 0.997727
City 31 -0.98434 0.176281
City 32 -0.861008 -0.508592
