City 1 -0.377351 -0.330082
City 2 0.229649 -0.168834
City 3 -0.0228853 0.0718346
City 4 0.205029 -0.413993
City 5 0.156019 0.405484
City 6 -0.128504 0.336567
City 7 0.276048 -0.478862
City 8 -0.331675 0.0724387
City 9 -0.220767 0.0458579
City 10 -0.482698 0.0831787
City 11 -0.435357 0.254654
City 12 -0.266843 -0.306707
City 13 -0.0067737 0.256047
City 14 -0.0208621 -0.0057403
City 15 -0.242107 -0.260732
City 16 -0.0282034 0.0849169
City 17 0.116809 0.0804683
City 18 -0.416046 -0.340741
City 19 0.431865 0.254052
City 20 0.00185779 -0.475716
City 21 0.186006 -0.130649
City 22 0.151955 -0.286148
City 23 0.17838 -0.401786
City 24 -0.37904 0.180137
City 25 0.0772691 0.340005
City 26 -0.447239 -0.0464925
City 27 0.265764 0.470267
City 28 -0.27389 0.49461
City 29 0.418855 0.439875
City 30 0.313285 -0.482058
City 31 -0.366196 -0.44652
City 32 0.213423 -0.388223
